Date,Open,High,Low,Close,Volume,MA_50,MA_200,Golden_Cross,RSI,MACD,MACD_signal,MACD_diff,BB_high,BB_low,BB_width,Daily_return,Log_return,High_Low_range,Price_change,Target
2018-07-19,480.62799072265625,483.239990234375,465.1419982910156,469.6189880371094,2068739968,500.4585186767578,695.899680480957,0,48.80307066526013,-6.812371729173378,-13.194185619186198,6.38181389001282,504.83541428905363,423.6259840263761,17.49333476007108,-0.022671628946775213,-0.02293258202369056,18.097991943359375,-11.009002685546875,0
2018-07-20,469.3070068359375,469.3070068359375,443.6929931640625,450.697998046875,1821350016,497.9195782470703,694.2899655151367,0,44.597421958108505,-7.576742271894318,-12.070696949727822,4.4939546778335036,504.8573735981904,423.15582525434866,17.60784188088344,-0.040290087224367555,-0.04112421437612502,25.614013671875,-18.6090087890625,1
2018-07-21,450.6789855957031,468.0830078125,445.7760009765625,462.4360046386719,1504310016,495.56743774414065,692.1799256896973,0,47.613485754668545,-7.1528982422372565,-11.08713720822971,3.934238965992453,505.03049926691193,423.83450012273653,17.48284179025559,0.02604406197201725,0.025710691218280533,22.3070068359375,11.75701904296875,0
2018-07-22,462.43798828125,470.8980102539063,458.1189880371094,459.6570129394531,1338589952,492.92441833496093,689.6646109008789,0,46.961659915473895,-6.960998146663201,-10.261909395916408,3.3009112492532076,503.97753958492314,423.31846261234244,17.39661915536263,-0.006009462220378237,-0.006027591707268803,12.779022216796932,-2.780975341796875,0
2018-07-23,459.4389953613281,469.7659912109375,449.7279968261719,450.8529968261719,1596999936,489.5748986816406,687.0142658996582,0,44.86610878006657,-7.4336361304305,-9.696254742819228,2.262618612388728,503.6917611121687,422.27004003529225,17.586410362928113,-0.01915344673407804,-0.01933925034062528,20.037994384765625,-8.58599853515625,1
2018-07-24,451.135986328125,481.1419982910156,450.5650024414063,479.37298583984375,2287520000,487.30265869140624,684.4225309753418,0,52.292749581107536,-5.444123904309436,-8.84582857511727,3.4017046708078347,504.8861798484861,422.281120566553,17.818803412276427,0.06325784505025234,0.06133763349283384,30.576995849609318,28.23699951171875,0
2018-07-25,479.906005859375,482.8680114746094,466.4739990234375,472.4930114746094,1930780032,484.56645935058594,681.5765957641602,0,50.524679437757335,-4.372177820053082,-7.951098424104433,3.5789206040513513,504.69797800863364,422.2774248233976,17.782683970562854,-0.0143520276871274,-0.014456014180329648,16.394012451171875,-7.412994384765625,0
2018-07-26,472.33099365234375,483.6960144042969,461.4240112304688,464.0369873046875,1621560064,481.7047186279297,678.130930480957,0,48.36040647492184,-4.1570632682215205,-7.192291392927851,3.0352281247063306,503.91815936097044,422.0597428607092,17.680425483990497,-0.017896612149947755,-0.01805869322650451,22.272003173828068,-8.29400634765625,1
2018-07-27,464.0090026855469,473.2219848632813,458.2909851074219,469.6659851074219,1734259968,478.99429809570313,674.7366102600098,0,49.89893300396518,-3.492115424053054,-6.452256199152893,2.9601407750998385,500.81062509689133,422.96787526931956,16.853120049170396,0.012130493811344234,0.012057509006291883,14.930999755859432,5.656982421875,0
2018-07-28,469.6780090332031,471.593994140625,462.989013671875,466.8980102539063,1531890048,476.3107177734375,670.5724003601074,0,49.123881446542505,-3.1521558145256563,-5.792236122227445,2.6400803077017887,497.74658667135765,423.80981591653295,16.046065232078554,-0.00589349653005522,-0.005910931717289994,8.60498046875,-2.779998779296818,0
