Date,Open,High,Low,Close,Volume,MA_50,MA_200,Golden_Cross,RSI,MACD,MACD_signal,MACD_diff,BB_high,BB_low,BB_width,Daily_return,Log_return,High_Low_range,Price_change,Target
2018-07-19,7378.2001953125,7494.4599609375,7295.4599609375,7466.85986328125,5111629824,6756.788994140625,8922.298557128906,0,67.84508499809455,114.9542178234451,-22.29390903320114,137.24812685664625,7368.3457582253095,5926.05922224344,21.69764706432188,0.013035266406750123,0.012951038487558252,199.0,88.65966796875,0
2018-07-20,7467.39990234375,7594.669921875,7323.259765625,7354.1298828125,4936869888,6753.988193359375,8890.783205566406,0,64.38356785431529,148.13050485221538,11.790973743882166,136.3395311083332,7468.750276846361,5920.667691903639,23.12397131161104,-0.015097374603627811,-0.015212500162381477,271.41015625,-113.27001953125,1
2018-07-21,7352.72021484375,7437.64013671875,7262.41015625,7419.2900390625,3726609920,6751.544990234375,8852.969157714844,0,65.4799131179731,177.63318658584194,44.95941631227412,132.6737702735678,7567.589140189576,5925.175850044799,24.345095928573617,0.008860348850009636,0.00882132629206077,175.22998046875,66.56982421875,0
2018-07-22,7417.7998046875,7537.9501953125,7383.81982421875,7418.490234375,3695460096,6747.045791015625,8814.056608886718,0,65.45328043853294,198.6597113697553,75.69947532377037,122.96023604598494,7655.368093753436,5917.827902340313,25.60252120301177,-0.00010780070374505346,-0.00010780651465853488,154.13037109375,0.6904296875,1
2018-07-23,7414.7099609375,7771.5,7409.10009765625,7711.10986328125,5132480000,6746.86298828125,8774.616157226563,0,70.22488465168212,236.21243239389423,107.80206673779514,128.4103656560991,7793.585061911338,5897.762936135537,27.693724913664425,0.03944463356578143,0.03868656433444906,362.39990234375,296.39990234375,1
2018-07-24,7716.509765625,8424.26953125,7705.5,8424.26953125,7277689856,6765.058974609375,8729.590004882812,0,78.1469398249328,319.8324302719211,150.20813944462034,169.62429082730077,8099.441050516852,5774.578920186273,33.51389338115183,0.09248469813206439,0.0884546416030793,718.76953125,707.759765625,0
2018-07-25,8379.66015625,8416.8701171875,8086.35986328125,8181.39013671875,5845400064,6776.01158203125,8682.861955566406,0,71.1991335648972,362.3268651679173,192.63188458927974,169.69498057863754,8286.683577604004,5741.561393099119,36.28568206244146,-0.028830914494162863,-0.029254690417220935,330.51025390625,-198.27001953125,0
2018-07-26,8176.85009765625,8290.330078125,7878.7099609375,7951.580078125,4899089920,6781.963583984375,8640.231857910156,0,65.2847371649595,373.1587184303171,228.7372513574872,144.4214670728299,8403.03119068269,5753.021787832934,37.43994751745597,-0.02808936559110453,-0.028491418656974198,411.6201171875,-225.27001953125,1
2018-07-27,7950.39990234375,8262.66015625,7839.759765625,8165.009765625,5195879936,6791.698974609375,8605.206408691407,0,67.94770165402278,394.41842220079707,261.8734855261492,132.5449366746479,8545.23521596631,5741.625721533691,39.247382706354124,0.026841166837664243,0.02648726157352419,422.900390625,214.60986328125,1
2018-07-28,8169.06005859375,8222.849609375,8110.77001953125,8192.150390625,3988750080,6803.043583984375,8573.190158691406,0,68.28090959390336,408.7451525372044,291.24781892836023,117.49733360884414,8676.394200111346,5752.2937881699045,40.53175748642357,0.0033240162325662848,0.0033185039026142372,112.07958984375,23.09033203125,1
