Date,Open,High,Low,Close,Volume,MA_50,MA_200,Golden_Cross,RSI,MACD,MACD_signal,MACD_diff,BB_high,BB_low,BB_width,Daily_return,Log_return,High_Low_range,Price_change,Target
2018-07-19,12.82509994506836,13.351099967956545,12.76959991455078,12.91800022125244,49364800,14.541924057006836,12.827015523910523,1,44.21976403955926,-0.48642452325227836,-0.5196488620122353,0.033224338759956895,15.095043929080056,11.71352626516433,25.227139227602034,0.00413529679375868,0.004126769953233632,0.5815000534057653,0.09290027618408025,0
2018-07-20,12.918499946594238,12.970999717712402,11.885600090026855,12.070899963378906,40466000,14.499538059234618,12.845296974182128,1,38.50879467576149,-0.5297491942515187,-0.5216689284600919,-0.008080265791426733,14.95821929274962,11.59171089829042,25.359828596425572,-0.06557518527363859,-0.06782411040467842,1.0853996276855469,-0.847599983215332,1
2018-07-21,12.074700355529783,12.455599784851074,11.902099609375,12.18529987335205,28726700,14.458428058624268,12.862034621238708,1,39.64250004751715,-0.5485300782074631,-0.5270411584095662,-0.02148891979789691,14.827334623916908,11.500715512649254,25.270531573832137,0.009477330631536551,0.009432702482494275,0.5535001754760742,0.1105995178222674,0
2018-07-22,12.188799858093262,12.27400016784668,11.96269989013672,12.11989974975586,20692400,14.407232055664062,12.874954719543457,1,39.197577925003856,-0.5622104948335274,-0.5340750256943585,-0.028135469139168867,14.631738033712981,11.451242122231843,24.387519313096902,-0.005367132879447234,-0.005381587680879116,0.31130027770995916,-0.06890010833740234,0
2018-07-23,12.136799812316896,12.33810043334961,11.9128999710083,12.01990032196045,28137700,14.356310062408447,12.888984270095825,1,38.486310573245255,-0.5744989750930856,-0.542159815574104,-0.032339159518981586,14.494659675524323,11.37316049201718,24.134226720997138,-0.008250846117553445,-0.008285072744152668,0.4252004623413086,-0.11689949035644709,1
2018-07-24,12.022199630737305,12.24619960784912,11.64840030670166,12.145099639892578,46762700,14.313990058898925,12.875123767852783,1,39.955362016922216,-0.5675922949475218,-0.5472463114487875,-0.020345983498734288,14.35618273902535,11.325597408527141,23.60105345568911,0.010416003009890984,0.010362130220377628,0.5977993011474592,0.12290000915527344,1
2018-07-25,12.086999893188477,13.466699600219728,12.079299926757812,12.93939971923828,72083200,14.260792045593261,12.826021766662597,1,48.37832091919112,-0.49234982075521394,-0.5362670133100729,0.04391719255485893,14.239595823263123,11.351074285532043,22.5748018746749,0.06540086972499526,0.06335113183701126,1.3873996734619158,0.8523998260498029,1
2018-07-26,12.921500205993652,13.55210018157959,12.911499977111816,13.397299766540527,61881400,14.183788051605225,12.79972426891327,1,52.513824576972716,-0.39126070106755506,-0.5072657508615693,0.11600504979401427,14.220626943604186,11.356813127501772,22.39327945361957,0.03538804405442719,0.03477627824343673,0.6406002044677734,0.475799560546875,1
2018-07-27,13.392499923706056,14.033499717712402,13.058099746704102,13.922699928283691,66040700,14.136980056762695,12.778033266067505,1,56.79115801653202,-0.2656887487963733,-0.45895035044853016,0.1932616016521569,14.099857350778707,11.429372671651711,20.92099665192145,0.03921686988413442,0.03846741977225795,0.9753999710083008,0.5302000045776349,1
2018-07-28,14.02560043334961,14.869400024414062,13.722299575805664,14.601699829101562,75159904,14.103538055419921,12.763982763290405,1,61.604536587679064,-0.11011313884577056,-0.38918290812797823,0.27906976928220767,14.262375838682779,11.327834122254721,22.93487799363527,0.04876926920176561,0.04761735212442453,1.1471004486083984,0.5760993957519531,0
2018-07-29,14.598099708557127,14.698399543762209,13.65999984741211,14.021200180053713,56547100,14.064698066711426,12.747134761810303,1,55.87389467441556,-0.033276229676371116,-0.3180015724376568,0.2847253427612857,14.329878898074156,11.296001057217591,23.6782334589066,-0.03975562132094368,-0.04056746579142347,1.0383996963500994,-0.5768995285034144,0
2018-07-30,13.947699546813965,13.947699546813965,13.066499710083008,13.216899871826172,35991600,14.045352058410645,12.70800576210022,1,49.063805980858646,-0.03685786412104619,-0.2617728307743347,0.22491496665328853,14.362524263525719,11.308915670251137,23.789928427480508,-0.05736315706923023,-0.059074178760745485,0.881199836730957,-0.730799674987793,1
2018-07-31,13.211099624633787,14.06429958343506,13.036800384521484,13.775400161743164,66537000,14.013190059661865,12.665301265716552,1,53.31859108124271,0.005308774345831324,-0.2083565097503015,0.21366528409613283,14.468120737373678,11.31036923378721,24.49911928215448,0.04225652727441176,0.04138810043549528,1.027499198913576,0.5643005371093768,0
2018-08-01,13.76959991455078,14.062000274658203,13.234100341796877,13.57390022277832,53833700,13.980144062042235,12.622298765182496,1,51.64251128474384,0.022210746397091086,-0.162243058520823,0.18445380491791408,14.52324419917619,11.405575838665605,24.047900027540834,-0.014627519825118895,-0.014735556829862061,0.8278999328613263,-0.19569969177245916,1
2018-08-02,13.630800247192385,14.184000015258787,13.406399726867676,14.176899909973145,50481200,13.971900062561035,12.589296765327454,1,56.09085054637947,0.08330245742262932,-0.11313395533213252,0.19643641275476184,14.664590570094276,11.463909414646935,24.49954002194162,0.04442346542248288,0.04346502544038368,0.7776002883911115,0.5460996627807599,0
2018-08-03,14.088000297546388,14.205900192260742,13.64050006866455,14.134599685668944,70449300,13.956686058044433,12.562146267890931,1,55.7037455044908,0.12684264096056097,-0.06513863607359383,0.1919812770341548,14.766584060154859,11.565725853480394,24.311260327503692,-0.002983742889688057,-0.0029882031248434234,0.5654001235961914,0.04659938812255504,0
2018-08-04,14.112700462341309,14.455100059509276,13.569100379943848,13.842399597167969,60865200,13.932572040557861,12.561898765563965,1,52.9835494432638,0.13620041141942707,-0.024870826574989652,0.16107123799441672,14.816989391252266,11.670650512769951,23.757034525409225,-0.02067268228312369,-0.020889353498043682,0.8859996795654279,-0.27030086517333984,0
2018-08-05,13.858699798583984,13.89780044555664,13.287500381469728,13.62320041656494,43000300,13.888852043151855,12.558998765945434,1,50.972623563413904,0.12449388199955713,0.005002115139919706,0.11949176685963743,14.844933644693622,11.681296309072248,23.852898366149006,-0.015835345531267198,-0.01596206415111641,0.6103000640869123,-0.23549938201904475,1
2018-08-06,13.687600135803224,13.975700378417969,13.496399879455566,13.69909954071045,46799600,13.831258029937745,12.556092262268066,1,51.65680748332756,0.11995799697850806,0.027993291507637377,0.09196470547087068,14.843480742479747,11.681379162763173,23.842550656348994,0.005571313775375453,0.005555851410656001,0.47930049896240234,0.011499404907224786,0
2018-08-07,13.658499717712402,13.90880012512207,13.128600120544434,13.146100044250488,45119500,13.75658603668213,12.547119760513306,1,46.55871351997552,0.07092327826175371,0.036579288858460644,0.034343989403293064,14.848123066074127,11.704866798275237,23.675347174512318,-0.04036757998703333,-0.04120496366340333,0.7802000045776367,-0.5123996734619141,0
